Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),growth_condition,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,sample_type
SRR3173764,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,405381111,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173765,RNA-Seq,150,284339250,PRJNA312237,SAMN04501933,201652648,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173766,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,417987335,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173767,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,398214184,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173768,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,410274333,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173769,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,404638886,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173770,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,412452600,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173771,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,405802280,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173772,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,409375374,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
SRR3173773,RNA-Seq,150,600000000,PRJNA312237,SAMN04501933,396652695,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX1588745,GSM2063247,5 hr 10mM NaAs stress,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-04-01T00:00:00Z,GSM2063247,stressed animals,SRP070204,VZ1,oxidative stress
