Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,stage,tissue
SRR4255626,RNA-Seq,99,7201019912,PRJNA343462,SAMN05788438,2665627723,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175399,daf-2(e1370),GSM2321773,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321773,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255627,RNA-Seq,99,6420111858,PRJNA343462,SAMN05788437,2382188014,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175400,daf-2(e1370),GSM2321774,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321774,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255628,RNA-Seq,99,5437430235,PRJNA343462,SAMN05788436,2016831796,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175401,daf-2(e1370); his-72(tm2066); his-71(ok2289),GSM2321775,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321775,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255629,RNA-Seq,99,5971210391,PRJNA343462,SAMN05788435,2212272095,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175402,daf-2(e1370); his-72(tm2066); his-71(ok2289),GSM2321776,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321776,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255630,RNA-Seq,99,6937452208,PRJNA343462,SAMN05788434,2510147171,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175403,daf-2(e1370); his-72(tm2066); his-71(ok2289),GSM2321777,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321777,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255633,RNA-Seq,99,8742298072,PRJNA343462,SAMN05788433,3248923841,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175406,nuo-6(qm200),GSM2321780,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321780,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255635,RNA-Seq,99,6636195134,PRJNA343462,SAMN05788432,2468344661,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175408,nuo-6(qm200),GSM2321782,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321782,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255638,RNA-Seq,99,8568810071,PRJNA343462,SAMN05788429,3204918119,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175411,nuo-6(qm200); his-72(tm2066); his-71(ok2289),GSM2321785,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321785,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255640,RNA-Seq,99,7151283832,PRJNA343462,SAMN05788427,2581317317,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175413,nuo-6(qm200); his-72(tm2066); his-71(ok2289),GSM2321787,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321787,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
SRR4255642,RNA-Seq,99,6375521412,PRJNA343462,SAMN05788425,2364505284,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2175415,nuo-6(qm200); his-72(tm2066); his-71(ok2289),GSM2321789,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2017-03-09T00:00:00Z,GSM2321789,lysate from whole organism,SRP090119,Late L4,Whole organism from synchronized population
